race_slug,race_id,driver_id,finishing_position,starting_position,car_number,status,laps,notes
2004-thomas-electric-75,,8145,18,,,,,
2004-thomas-electric-75,,20643,19,,,,,
2004-thomas-electric-75,,6384,20,,,,,
2004-thomas-electric-75,,null,21,,,,,
2004-thomas-electric-75,,22032,22,,,,,
2004-thomas-electric-75,,20139,23,,,,,
2004-creek-classic-100,,181,1,,,,,
2004-creek-classic-100,,3880,2,,,,,
2004-creek-classic-100,,22032,3,,,,,
2004-creek-classic-100,,15866,4,,,,,
2004-creek-classic-100,,11096,5,,,,,
2004-creek-classic-100,,2665,6,,,,,
2004-creek-classic-100,,11050,7,,,,,
2004-creek-classic-100,,10910,8,,,,,
2004-creek-classic-100,,16017,9,,,,,
2004-creek-classic-100,,7419,10,,,,,
2004-creek-classic-100,,19635,11,,,,,
2004-creek-classic-100,,6384,12,,,,,
2004-creek-classic-100,,2911,13,,,,,
2004-creek-classic-100,,4194,14,,,,,
2004-creek-classic-100,,21717,15,,,,,
2004-creek-classic-100,,14573,16,,,,,
2004-creek-classic-100,,10844,17,,,,,
2004-creek-classic-100,,15732,18,,,,,
2004-creek-classic-100,,13291,19,,,,,
2004-creek-classic-100,,8381,20,,,,,
2004-creek-classic-100,,14187,21,,,,,
2004-creek-classic-100,,8314,22,,,,,
2004-sands-100,,3880,1,,,,,
2004-sands-100,,11210,2,,,,,
2004-sands-100,,8715,3,,,,,
2004-sands-100,,10667,4,,,,,
2004-sands-100,,22477,5,,,,,
2004-sands-100,,20451,6,,,,,
2004-sands-100,,12529,7,,,,,
2004-sands-100,,14187,8,,,,,
2004-sands-100,,7419,9,,,,,
2004-sands-100,,10910,10,,,,,
2004-sands-100,,12161,11,,,,,
2004-sands-100,,15866,12,,,,,
2004-sands-100,,181,13,,,,,
2004-sands-100,,2911,14,,,,,
2004-sands-100,,516,15,,,,,
2004-sands-100,,8145,16,,,,,
2004-sands-100,,15732,17,,,,,
2004-sands-100,,715,18,,,,,
2004-sands-100,,13291,19,,,,,
2004-sands-100,,4194,20,,,,,
2004-sands-100,,8535,21,,,,,
2004-sands-100,,2665,22,,,,,
2004-sands-100,,20139,23,,,,,
2004-spring-fling-redeux,,15866,1,,,,,
2004-spring-fling-redeux,,3880,2,,,,,
2004-spring-fling-redeux,,21903,3,,,,,
2004-spring-fling-redeux,,12161,4,,,,,
2004-spring-fling-redeux,,4194,5,,,,,
2004-spring-fling-redeux,,14294,6,,,,,
2004-spring-fling-redeux,,18261,7,,,,,
2004-spring-fling-redeux,,10628,8,,,,,
2004-spring-fling-redeux,,7419,9,,,,,
2004-spring-fling-redeux,,11096,10,,,,,
2004-spring-fling-redeux,,10667,11,,,,,
2004-spring-fling-redeux,,14187,12,,,,,
2004-spring-fling-redeux,,22032,13,,,,,
2004-spring-fling-redeux,,6406,14,,,,,
2004-spring-fling-redeux,,15732,15,,,,,
2004-spring-fling-redeux,,null,16,,,,,
2004-spring-fling-redeux,,715,17,,,,,
2004-spring-fling-redeux,,56,18,,,,,
