series_event_id,finishing_position,starting_position,car_number,driver_id,driver_name,driver_slug,sponsor,make,laps,led,status,points,result_section,source_url
267,9,,,10667,Jason Weinkauf,jason-weinkauf,,,,,,,feature,
267,10,,,3355,Burton Brown,burton-brown,,,,,,,feature,
267,11,,,181,Adam Royle,adam-royle,,,,,,,feature,
267,12,,,15732,M.G. Gajewski,m-g-gajewski,,,,,,,feature,
267,13,,,14187,Ken Reiser,kenny-reiser,,,,,,,feature,
267,14,,,11091,Jeff Watters,jeff-watters,,,,,,,feature,
267,15,,,20326,Russ Weiler,russ-weiler,,,,,,,feature,
267,16,,,23689,Wayne Breitenfeldt,wayne-breitenfeldt,,,,,,,feature,
267,17,,,11096,Jeff Weinfurter,jeff-weinfurter,,,,,,,feature,
267,18,,,19584,Rocky Breezer,rocky-breezer,,,,,,,feature,
267,19,,,13291,John Zimmerman,john-zimmerman,,,,,,,feature,
267,20,,,20643,Scott Broughton,scott-broughton,,,,,,,feature,
267,21,,,17569,Neil Knoblock,neil-knoblock,,,,,,,feature,
267,22,,,null,Kurt Guralski,kurt-guralski,,,,,,,feature,
268,1,,,13983,Kelly Bires,kelly-bires,,,,,,,feature,
268,2,,,17512,Nathan Haseleu,nathan-haseleu,,,,,,,feature,
268,3,,,8314,Erik Darnell,erik-darnell,,,,,,,feature,
268,4,,,10910,Jeff Kendall,jeff-kendall,,,,,,,feature,
268,5,,,8526,Frank Kreyer,frank-kreyer,,,,,,,feature,
268,6,,,4194,Chris Weinkauf,chris-weinkauf,,,,,,,feature,
268,7,,,3880,Charlie Menard,charlie-menard,,,,,,,feature,
268,8,,,603,Andrew Morrissey,andrew-morrissey,,,,,,,feature,
268,9,,,12529,Joe Kryzkowski,joe-krzykowski,,,,,,,feature,
268,10,,,14363,Kevin Brescia,kevin-brescia,,,,,,,feature,
268,11,,,516,Allen Check,allen-check,,,,,,,feature,
268,12,,,8715,Gary Back,gary-back,,,,,,,feature,
268,13,,,14187,Ken Reiser,kenny-reiser,,,,,,,feature,
268,14,,,11765,Jim Carlson,jim-carlson,,,,,,,feature,
268,15,,,10667,Jason Weinkauf,jason-weinkauf,,,,,,,feature,
268,16,,,11091,Jeff Watters,jeff-watters,,,,,,,feature,
268,17,,,181,Adam Royle,adam-royle,,,,,,,feature,
268,18,,,20139,Rory Melbinger,rory-melbinger,,,,,,,feature,
268,19,,,22698,Tom Lichtfeld,tom-lichtfeld,,,,,,,feature,
268,20,,,20326,Russ Weiler,russ-weiler,,,,,,,feature,
268,21,,,5276,Dan Howard,dan-howard,,,,,,,feature,
268,22,,,14762,Kyle Kinder,kyle-kinder,,,,,,,feature,
269,1,,,8314,Erik Darnell,erik-darnell,,,,,,,feature,
269,2,,,9537,Gregg Haese,gregg-haese,,,,,,,feature,
269,3,,,4194,Chris Weinkauf,chris-weinkauf,,,,,,,feature,
269,4,,,10910,Jeff Kendall,jeff-kendall,,,,,,,feature,
269,5,,,22032,Terry Van Roy,terry-van-roy,,,,,,,feature,
269,6,,,16017,Mark Schroeder,mark-schroeder,,,,,,,feature,
269,7,,,11096,Jeff Weinfurter,jeff-weinfurter,,,,,,,feature,
269,8,,,3880,Charlie Menard,charlie-menard,,,,,,,feature,
269,9,,,14187,Ken Reiser,kenny-reiser,,,,,,,feature,
269,10,,,19122,Rick Corso,rick-corso,,,,,,,feature,
269,11,,,15732,M.G. Gajewski,m-g-gajewski,,,,,,,feature,
